txn_id,value_date,narration,debit,credit,balance,bank_ref,bank
TXN00000059,12/06/26,UPI-MYSOREINDUSTRIESINDIAPRIVATELIMITED-MYSOREINDU@APL-9835266390-PAYMENT FROM MII,,200006.00,29796085.30,1805504955,HDFC
TXN00000060,23/08/26,IMPS-8122668424-BELGAUM REFRACTORIES LIMITED-ICIC,,131111.25,29927196.55,4206057594,HDFC
TXN00000061,09-08-2026,NEFT/ICICR52023081175/AMRAVATI HANDICRAFTS P LTD,,470732.00,30397928.55,S52608919,ICICI
TXN00000062,30-07-2026,RTGS/ICICR52024560682/JAMNAGAR MEDIA PVT,,431023.00,30828951.55,S37071665,ICICI
TXN00000063,05/08/26,UPI-KRISHNA LOGISTICS PR-KRISHNALOG@OKAXIS-300000000063-PAYMENT FROM KLP,,457488.00,31286439.55,6265147990,HDFC
TXN00000064,20/06/26,RTGS-HDFC0009812-SURAT SPINNERS LLP-300000000064,,481833.75,31768273.30,8189094745,HDFC
TXN00000065,18/06/26,ACH C-CUTTACK LOGISTICS PRIVATE LIMITED-300000000065,,339549.99,32107823.29,4051451086,HDFC
TXN00000066,14-06-2026,MMT/IMPS/300000000066/LUDHIANA INFRAPROJ/KKBK,,473644.00,32581467.29,S79997619,ICICI
TXN00000067,14/06/26,ACH C-BHILAI FERTILISERS PRIVATE LIMITED-300000000067,,158926.25,32740393.54,6098000394,HDFC
TXN00000068,15/08/26,ACH C-MADURAI SOFTWARE  SERVICES PRIVATE LIMITED-300000000068,,373720.25,33114113.79,2914108436,HDFC
TXN00000069,15/07/26,NEFT-HDFC0009812-COIMBATORE C-300000000069,,262356.25,33376470.04,4629811352,HDFC
TXN00000070,26/07/26,NEFT CR-HDFC0009812-CHENNAI  DISTRIBUTORS PRIVATE LIMITED-UTR7216973657,,120256.75,33496726.79,7787153490,HDFC
TXN00000071,15/06/26,NEFT-HDFC0002341-SURAT TRANSPORT AND COMPANY-300000000071,,350868.00,33847594.79,6367918548,HDFC
TXN00000072,23-07-2026,RTGS/ICICR52024117848/INDORE LOGISTICS P,,465837.25,34313432.04,S60069431,ICICI
TXN00000073,12-08-2026,UPI/300000000073/Payment from/cuttackaut@ybl/SBIN,,304540.75,34617972.79,S88480466,ICICI
TXN00000074,17-06-2026,UPI/300000000074/Payment from/chennaispi@ybl/HDFC,,402514.50,35020487.29,S41082857,ICICI
TXN00000075,28-08-2026,BIL/ONL/300000000075/KEI,,162138.00,35182625.29,S38949591,ICICI
TXN00000076,08-07-2026,MMT/IMPS/300000000076/NAGPUR GARMENTS PVT/AXIS,,181796.00,35364421.29,S64135389,ICICI
TXN00000077,18/08/26,UPI-MADURAI TRANSPORT AND COMPANY-MADURAITRA@OKHDFCBANK-300000000077-PAYMENT FROM MTA,,50482.00,35414903.29,9154702651,HDFC
TXN00000078,04/07/26,NEFT-HDFC0000123-CHENNAIMEDIAPVTLTD-7604425887,,308842.50,35723745.79,3489659297,HDFC
TXN00000079,12-07-2026,UPI/300000000079/Payment from/aurangabad@ybl/AXIS-,,224006.50,35947752.29,S16527547,ICICI
TXN00000080,24-07-2026,RTGS/ICICR52024117466/Hosur Cold Stora,,92673.00,36040425.29,S69971450,ICICI
TXN00000081,09/08/26,ACH C-JALANDHAR ELECTRICAL-300000000081,,309001.75,36349427.04,6019803607,HDFC
TXN00000082,20/07/26,NEFT CR-HDFC0000123-DEHRADUN PACKAGING LLP-UTR300000000082,,299966.75,36649393.79,1303365067,HDFC
TXN00000083,21/07/26,NEFT-HDFC0004567-BHOPAL TEXTILES PVT LTD-1060184162,,363670.75,37013064.54,6912707996,HDFC
TXN00000084,19-06-2026,BIL/ONL/300000000084/HSL,,100039.00,37113103.54,S90634262,ICICI
TXN00000085,03/08/26,UPI-HOSURCHEMICALSINDIAPRIVATELIMITED-HOSURCHEMI@YBL-1175293534,,318112.25,37431215.79,4131867094,HDFC
TXN00000086,29/07/26,RTGS-HDFC0002341-DEHRADUN POLYMERS-300000000086,,214974.00,37646189.79,4738518670,HDFC
TXN00000087,08/07/26,ACH C-RAIPUR HANDICRAFTS LLP-4419799957,,12860.75,37659050.54,2996311717,HDFC
TXN00000088,09-08-2026,RTGS/ICICR52024560557/BHILAI MEDIA PVT L,,120976.75,37780027.29,S43547708,ICICI
TXN00000089,16/06/26,NEFT CR-HDFC0000123-INDORE HANDICRAF-UTR8061376279,,220778.50,38000805.79,5472892387,HDFC
TXN00000090,23-07-2026,BIL/ONL/1317173597/JIA,,315469.75,38316275.54,S87144571,ICICI
TXN00000091,24-08-2026,UPI/4034392049/Payment from/rajkotmoto@okhdfcbank/SBIN/ ,,383888.25,38700163.79,S60044452,ICICI
TXN00000092,21-07-2026,RTGS/ICICR52023994473/LUDHIANA PAPER MILLS PVT LTD-,,474097.50,39174261.29,S98882080,ICICI
TXN00000093,02-07-2026,BIL/ONL/7976645889/NCP,,298299.00,39472560.29,S38529759,ICICI
TXN00000094,19-06-2026,NEFT/ICICR52023994757/HOSURCONTAINERSPVTLTD,,285442.00,39758002.29,S52190497,ICICI
TXN00000095,24-06-2026,BIL/ONL/300000000095/GCP,,434556.25,40192558.54,S29729445,ICICI
TXN00000096,28/08/26,NEFT-HDFC0009812-BHAVNAGAR DIAGNOSTICS-300000000096,,190157.99,40382716.53,3902014115,HDFC
TXN00000097,22-06-2026,NEFT-ICICR52023081681-SILIGURIAGROEXPORTSPRIVATELIMITED,,183075.00,40565791.53,S36386538,ICICI
TXN00000098,25-06-2026,RTGS/ICICR52023081260/Guntur Motors Pr,,218637.50,40784429.03,S56267004,ICICI
TXN00000099,19/08/26,RTGS-HDFC0009812-DEHRADUN AGRO EXPORTS-300000000099,,295172.75,41079601.78,3548888067,HDFC
TXN00000100,05/07/26,NEFT CR-HDFC0004567-SURATCERAMICSPVTLTD-UTR300000000100,,459955.00,41539556.78,6388476889,HDFC
TXN00000101,05/07/26,NEFT-HDFC0000123-SURAT INFRAPROJE-5965518477,,213314.50,41752871.28,9239635542,HDFC
TXN00000102,12-08-2026,NEFT-ICICR52024117834-MANGALORE COLD S,,417142.75,42170014.03,S56572076,ICICI
TXN00000103,15/08/26,NEFT-HDFC0004567-VARANASI SOFTWARE SE-300000000103,,168630.50,42338644.53,7557764272,HDFC
TXN00000104,17/06/26,ACH C-KRISHNA ENGINEERING-3124030500,,194643.00,42533287.53,9433991779,HDFC
TXN00000105,26-06-2026,RTGS/ICICR52023994405/Indore Diagnostics Limited,,192029.50,42725317.03,S49290349,ICICI
TXN00000106,08-08-2026,UPI/300000000106/CTP/cuttacktex@okaxis,,466508.99,43191826.02,S83339263,ICICI
TXN00000107,21-08-2026,NEFT/ICICR52023994836/TRICHY CASTINGS,,418432.00,43610258.02,S45875055,ICICI
TXN00000108,24/08/26,UPI-GODAVARI PLASTICS AND COMPANY-GODAVARIPL@IBL-1645086584,,239427.00,43849685.02,9344283490,HDFC
TXN00000109,28/06/26,RTGS-HDFC0004567-AURANGABAD E-300000000109,,260044.75,44109729.77,1271324739,HDFC
TXN00000110,18-08-2026,NEFT/ICICR52024560553/bhilai fabricators and company,,34284.50,44144014.27,S85269214,ICICI
TXN00000111,13/08/26,IMPS-300000000111-ERNAKULAM IN-HDFC,,360597.50,44504611.77,6831966902,HDFC
TXN00000112,24/08/26,IMPS-300000000112-JALANDHAR FABRICATORS AND  COMPANY-KKBK,,62110.99,44566722.76,7008761574,HDFC
TXN00000113,20/08/26,UPI-CHENNAI HANDICRAFTS-CHENNAIHAN@OKAXIS-4489779346,,38657.75,44605380.51,9382453243,HDFC
TXN00000114,11-07-2026,BIL/ONL/9806000745/MII,,191089.99,44796470.50,S39995748,ICICI
TXN00000115,29-06-2026,UPI/300000000115/Payment from/salemfabri@ybl/HDFC,,133643.00,44930113.50,S87012471,ICICI
TXN00000116,08/06/26,NEFT CR-HDFC0004567-AMRAVATI  IND-UTR300000000116,,211292.75,45141406.25,9176978680,HDFC
TXN00000117,31/08/26,IMPS-300000000117-CHENNAI CASTINGS LLP-KKBK,,34145.50,45175551.75,8022877009,HDFC
TXN00000118,08/07/26,NEFT-HDFC0004567-KANPURLOGISTICSPRIVATELIMITED-1108053476,,456700.00,45632251.75,2206033545,HDFC
TXN00000119,08/08/26,ACH C-ANANTAPUR AGRO EXPORTS PRIVATE LIMITED-300000000119,,92729.75,45724981.50,7462740469,HDFC
TXN00000120,10-06-2026,NEFT-ICICR52024560876-MYSORE CONSTRUCTIONS PRIVATE LIMITED,,84545.50,45809527.00,S82058203,ICICI
TXN00000121,27/07/26,NEFT-HDFC0002341-KRISHNA DISTRIBUTORS PRIVATE LIMITED-1272276705,,94188.00,45903715.00,8362949130,HDFC
TXN00000122,06/08/26,ACH C-BHILAI CASTINGS LLP-5395078316,,279480.00,46183195.00,2216833529,HDFC
TXN00000123,29/08/26,UPI-SILIGURI GARMENTS PRIVATE LIMITED-SILIGURIGA@APL-2605964632-PAYMENT FROM SGP-,,211006.00,46394201.00,9400974946,HDFC
TXN00000124,23-08-2026,BIL/ONL/300000000124/CCS,,494949.00,46889150.00,S53504654,ICICI
TXN00000125,05/06/26,IMPS-300000000125-GODAVARI FORGINGS LIMITED-KKBK,,80545.00,46969695.00,7183115493,HDFC
TXN00000126,07/08/26,RTGS-HDFC0000123-TIRUPURCERAMICSPVTLTD-300000000126,,415280.00,47384975.00,2291512973,HDFC
TXN00000127,17/06/26,ACH C-JODHPUR FORGINGS LIMITED-300000000127,,302212.99,47687187.99,7539249102,HDFC
TXN00000128,29-07-2026,RTGS/ICICR52023994703/Surat Infraprojects And Company,,149972.00,47837159.99,S65429610,ICICI
TXN00000129,10-07-2026,UPI/300000000129/GCP/godavarico@okhdfcbank,,168197.50,48005357.49,S60114387,ICICI
TXN00000130,01/08/26,IMPS-1541153106-BHOPAL GARMENTS PRIVATE LIMITED-KKBK,,265902.50,48271259.99,9616309467,HDFC
TXN00000131,16-08-2026,BIL/ONL/3276296231/GEI,,298676.75,48569936.74,S46325084,ICICI
TXN00000132,16-06-2026,UPI/9268312785/ULP/udaipurlog@ibl,,141918.99,48711855.73,S25622560,ICICI
TXN00000133,18/08/26,NEFT-HDFC0002341-COIMBATORE COLD STORAGE AND COMPANY-300000000133,,271766.25,48983621.98,6044539547,HDFC
TXN00000134,11-08-2026,MMT/IMPS/5943038141/KOLHAPUR SOF/KKBK,,330975.00,49314596.98,S54820109,ICICI
TXN00000135,07-08-2026,UPI/5967285535/MHP/maduraihos@ibl,,77090.00,49391686.98,S24333094,ICICI
TXN00000136,20/06/26,NEFT-HDFC0004567-ERNAKULAMENTERPRISESINDIAPRIVATELIMITED-3439420709,,376919.00,49768605.98,2369905578,HDFC
TXN00000137,21/08/26,IMPS-300000000137-ERNAKULAM AGRO EXPORTS PRIVATE LIMITED-KKBK,,70365.00,49838970.98,8371478462,HDFC
TXN00000138,14/07/26,IMPS-300000000138-HALDIA METALS LIMITED-KKBK/,,299395.00,50138365.98,5426130947,HDFC
TXN00000139,25/07/26,RTGS-HDFC0002341-ANANTAPUR LOGISTICS-300000000139,,366378.75,50504744.73,1482359610,HDFC
TXN00000140,28-07-2026,BIL/ONL/300000000140/KTA,,27644.00,50532388.73,S58953610,ICICI
TXN00000141,29-06-2026,RTGS/ICICR52024560914/INDORE HANDICRAFTS,,189590.50,50721979.23,S56705773,ICICI
TXN00000142,29-06-2026,UPI/300000000142/APL/aurangabad@okhdfcbank,,137559.99,50859539.22,S67681253,ICICI
TXN00000143,04-07-2026,MMT/IMPS/3087495140/jabalpur electricals llp/HDFC,,428759.00,51288298.22,S17371659,ICICI
TXN00000144,28/06/26,IMPS-300000000144-CUTTACK AUTO COMPO-SBIN,,203882.50,51492180.72,3796883058,HDFC
TXN00000145,20/08/26,UPI-HUBLI MEDIA PVT LTD-HUBLIMEDIA@YBL-300000000145-PAYMENT FROM HMP,,352991.25,51845171.97,1332621840,HDFC
TXN00000146,29/06/26,ACH C-KOLHAPURCONTAINERSPVTLTD-5330247115,,31438.00,51876609.97,8028744201,HDFC
TXN00000147,16/08/26,NEFT CR-HDFC0002341-GUNTUR PACKAGING LLP-UTR300000000147,,151533.99,52028143.96,8378849730,HDFC
TXN00000148,22/06/26,UPI-SALEM COLD STORAGE A-SALEMCOLDS@APL-300000000148-PAYMENT FROM SCS,,294911.00,52323054.96,4708266307,HDFC
TXN00000149,03/08/26,IMPS-300000000149-LUDHIANACERAMICSPVTLTD-UTIB,,74294.00,52397348.96,4724826986,HDFC
TXN00000150,30-06-2026,MMT/IMPS/300000000150/GUNTUR LOGISTICS P/SBIN,,210201.00,52607549.96,S68804119,ICICI
TXN00000151,04-06-2026,BIL/ONL/6381530788/DII,,49821.25,52657371.21,S45481233,ICICI
TXN00000152,13-08-2026,UPI/300000000152/Payment from/ludhianaph@apl/ICIC,,304135.00,52961506.21,S47941498,ICICI
TXN00000153,04-07-2026,NEFT/ICICR52023994405/MANGALORE IN,,435918.00,53397424.21,S35883618,ICICI
TXN00000154,04-06-2026,RTGS/ICICR52023994492/SOLAPUR AGRO EXPORTS PRIVATE LIMITED,,247169.99,53644594.20,S12711442,ICICI
TXN00000155,03/08/26,NEFT CR-HDFC0002341-JODHPUR PRINTERS P-UTR300000000155,,493492.00,54138086.20,9256991647,HDFC
TXN00000156,26/07/26,NEFT-HDFC0000123-LUDHIANA CONTAINERS-300000000156,,239667.00,54377753.20,2001294866,HDFC
TXN00000157,25-07-2026,BIL/ONL/4305511913/NTA,,415966.99,54793720.19,S56080349,ICICI
TXN00000158,27/08/26,RTGS-HDFC0000123-SALEM CERAMICS PVT LTD-2146761972,,452556.00,55246276.19,1188926257,HDFC
TXN00000159,20/08/26,UPI-NARMADA GARMENTS  P-NARMADAGAR@APL-300000000159-PAYMENT FROM NGP,,404290.75,55650566.94,4563582148,HDFC
TXN00000160,13/07/26,ACH C-BELGAUM BEARINGS LIMITED-300000000160,,351115.00,56001681.94,7282882552,HDFC
TXN00000161,22/06/26,IMPS-300000000161-JAMNAGARENTERPRISESINDIAPRIVATELIMITED-SBIN,,253049.99,56254731.93,7778191961,HDFC
TXN00000162,27-08-2026,MMT/IMPS/6030910694/LUDHIANA DISTRIBUTOR/ICIC,,423491.50,56678223.43,S94266281,ICICI
TXN00000163,12/08/26,RTGS-HDFC0009812-JODHPUR FOODS PVT LTD-8168902284,,255561.00,56933784.43,8400643903,HDFC
TXN00000164,17/08/26,UPI-CHANDRAPURPOLYMERSPRIVATELIMITED-CHANDRAPUR@PAYTM-300000000164-PAYMENT FROM CPP,,106020.75,57039805.18,9649955227,HDFC
TXN00000165,10/07/26,RTGS-HDFC0000123-NARMADA PHAR-1327370236,,419907.00,57459712.18,4780672642,HDFC
TXN00000166,12-07-2026,MMT/IMPS/300000000166/gwalior hospitality pvt ltd/HDFC,,111507.00,57571219.18,S82899237,ICICI
TXN00000167,30/08/26,ACH C-HOSURHANDICRAFTSLLP-2306482942,,284323.00,57855542.18,2907404441,HDFC
TXN00000168,25/08/26,ACH C-GANDHINAGAR POLYMERS PRIVATE LIMITED-300000000168,,135549.50,57991091.68,7296062307,HDFC
TXN00000169,23/07/26,RTGS-HDFC0000123-JALANDHARGARMENTSPRIVATELIMITED-3999551124,,456260.00,58447351.68,2032730769,HDFC
TXN00000170,23/08/26,NEFT-HDFC0009812-AMRAVATI FABRICATORS AND COMPANY-6748120596,,190782.00,58638133.68,1764127984,HDFC
TXN00000171,12-07-2026,RTGS/ICICR52023081229/KOLHAPUR CERAMICS PVT LTD,,10383.50,58648517.18,S60655222,ICICI
TXN00000172,02-06-2026,NEFT-ICICR52024117344-BHAVNAGAR DISTRIBUTO,,88017.00,58736534.18,S43337908,ICICI
TXN00000173,05-07-2026,RTGS/ICICR52024117733/KANPURCONSTRUCTIONSPRIVATELIMITED,,349361.00,59085895.18,S14299643,ICICI
TXN00000174,28-06-2026,RTGS/ICICR52023081603/Hubli Transport And Company,,476475.00,59562370.18,S74844184,ICICI
TXN00000175,19-06-2026,NEFT-ICICR52023994357-MANGALORE FABRICATOR,,251177.50,59813547.68,S80068509,ICICI
TXN00000176,24/06/26,UPI-HUBLI AUTO COMPONENT-HUBLIAUTOC@YBL-300000000176-PAYMENT FROM HAC,,484171.75,60297719.43,9372429824,HDFC
TXN00000177,28/06/26,UPI-VARANASI BEARINGS LIMITED-VARANASIBE@PAYTM-8427712915,,221436.00,60519155.43,9046930676,HDFC
TXN00000178,15-06-2026,UPI/300000000178/Payment from/belgaumsof@okhdfcbank/KKBK,,468089.50,60987244.93,S74995812,ICICI
TXN00000179,24-08-2026,UPI/8865817110/Payment from/gwaliorlog@ybl/HDFC,,346589.00,61333833.93,S46671472,ICICI
TXN00000180,16/08/26,IMPS-300000000180-BHAVNAGAR PA-KKBK,,107798.99,61441632.92,1369992344,HDFC
TXN00000181,04-06-2026,RTGS/ICICR52024560702/COIMBATORE CABLES PR,,204179.00,61645811.92,S99150030,ICICI
TXN00000182,29-06-2026,UPI/300000000182/Payment from/narmadacon@ybl/ICIC,,231431.99,61877243.91,S12217733,ICICI
TXN00000183,16/07/26,NEFT CR-HDFC0009812-ERNAKULAM FORGIN-UTR300000000183,,141755.00,62018998.91,3756149366,HDFC
TXN00000184,19/08/26,UPI-MANGALORE CHEMICAL-MANGALOREC@OKHDFCBANK-300000000184-PAYMENT FROM MCI,,356996.99,62375995.90,2189982751,HDFC
TXN00000185,24/08/26,NEFT CR-HDFC0000123-HALDIA INDUSTRIES IN-UTR300000000185,,199702.00,62575697.90,6062266509,HDFC
TXN00000186,12/08/26,UPI-HUBLI GARMENTS PRI-HUBLIGARME@OKAXIS-3686284971,,472168.25,63047866.15,9895234913,HDFC
TXN00000187,08/07/26,NEFT CR-HDFC0002341-KANPURMETALSLIMITED-UTR8388743712,,295385.50,63343251.65,3135797221,HDFC
TXN00000188,08/08/26,UPI-GWALIOR TRANSPOR-GWALIORTRA@PAYTM-2365746996,,99961.00,63443212.65,1762426638,HDFC
TXN00000189,23/08/26,RTGS-HDFC0009812-BHILAI MEDIA PVT L-300000000189,,67196.99,63510409.64,1218393558,HDFC
TXN00000190,05/07/26,IMPS-300000000190-COIMBATORE PLASTIC-UTIB,,103919.00,63614328.64,7401898893,HDFC
TXN00000191,28-07-2026,RTGS/ICICR52024560875/Kanpurhospitalitypvtltd,,304034.00,63918362.64,S11272491,ICICI
TXN00000192,03/08/26,NEFT CR-HDFC0004567-ERNAKULAM INDUSTRIES INDIA PRIVATE LIMITED-UTR300000000192,,83871.75,64002234.39,3444067525,HDFC
TXN00000193,25-06-2026,BIL/ONL/1726617766/CCP,,381747.75,64383982.14,S46395536,ICICI
TXN00000194,30-07-2026,UPI/7205219767/Payment from/meerutengi@ybl/KKBK,,294641.25,64678623.39,S98747167,ICICI
TXN00000195,24/07/26,UPI-KAKINADA FORGINGS-KAKINADAFO@YBL-300000000195-PAYMENT FROM KFL,,425758.75,65104382.14,5128735068,HDFC
TXN00000196,20/07/26,NEFT-HDFC0002341-GWALIOR CABLES PRIVATE LIMITED-300000000196,,345315.99,65449698.13,6174909429,HDFC
TXN00000197,04-07-2026,NEFT/ICICR52023081645/KAKINADA PHARMACEUTICALS INDIA PRIVATE LIMITED,,455796.00,65905494.13,S89253776,ICICI
TXN00000198,28-06-2026,RTGS/ICICR52023994710/ernakulam polymers,,184503.75,66089997.88,S46611219,ICICI
TXN00000199,03/07/26,RTGS-HDFC0000123-BHOPAL INDUSTRIES IN-8569892525,,211783.25,66301781.13,5837762330,HDFC
TXN00000200,08/08/26,NEFT-HDFC0000123-COIMBATORE POLYMERS PRIVATE LIMITED-300000000200,,149216.00,66450997.13,5784866855,HDFC
TXN00000201,21/07/26,RTGS-HDFC0004567-RAIPUR PLASTICS AND COMPANY-8384190737,,300194.99,66751192.12,5799484846,HDFC
